start_time,innode,inqueue,status,node_1_start,node_1_end,node_2_start,node_2_end,node_3_start,node_3_end,node_4_start,node_4_end,node_5_start,node_5_end
0.20141719105910538,5,0,4,0.20141719105910538,0.4274256203878172,0.4274256203878172,1.0874133519031592,1.0874133519031592,1.321502588271323,1.321502588271323,2.2412580158314124,2.2412580158314124,2.3650312343136726
0.625690309280386,5,0,4,0.625690309280386,2.2461688417895904,2.2461688417895904,2.9297969087436657,2.9297969087436657,3.2945879221140872,3.2945879221140872,3.5708267461276777,3.5708267461276777,3.570950202523609
2.6379423979939283,5,0,4,2.6379423979939283,4.41032347359118,4.41032347359118,5.175738298970387,5.175738298970387,5.412502063651108,5.412502063651108,6.532170568073738,6.532170568073738,6.940987034778661
3.5043606643471397,5,0,4,4.41032347359118,4.751565780880403,5.175738298970387,6.183102463606231,6.183102463606231,7.112952580156115,7.112952580156115,7.327483424200643,7.327483424200643,7.392797625880612
4.690344091908242,5,0,4,4.751565780880403,5.526407039477987,6.183102463606231,6.289518554344442,7.112952580156115,8.412284660054024,8.412284660054024,10.396431578460069,10.396431578460069,11.098830874219473
5.8027820250175335,5,0,4,5.8027820250175335,6.160928551072438,6.289518554344442,6.308670650092776,8.412284660054024,9.805931953897161,10.396431578460069,11.15878316572591,11.15878316572591,12.08961299606575
6.657986606003088,5,0,4,6.657986606003088,6.781531410044253,6.781531410044253,7.032877334473369,9.805931953897161,10.119244592415136,11.15878316572591,12.422476666969692,12.422476666969692,12.73529363849715
8.305921763214378,5,0,4,8.305921763214378,8.54148206549253,8.54148206549253,8.753060233010478,10.119244592415136,10.650444219775858,12.422476666969692,13.64245346095181,13.64245346095181,14.438642497434467
8.975874506478021,5,0,4,8.975874506478021,9.114561093412771,9.114561093412771,9.567841706842234,10.650444219775858,11.223387487102855,13.64245346095181,16.15033281162274,16.15033281162274,17.578024674406546
9.129052504357226,5,0,4,9.129052504357226,9.14156462693947,9.567841706842234,10.446446219087722,11.223387487102855,11.345866140526137,16.15033281162274,16.31455995771597,17.578024674406546,17.854747473027043
9.233656341718977,5,0,4,9.233656341718977,11.9841364211813,11.9841364211813,13.54860060043893,13.54860060043893,13.815940316230964,16.31455995771597,17.383095749218217,17.854747473027043,18.00604263957362
9.603490121414271,5,0,4,11.9841364211813,12.24154395432811,13.54860060043893,14.300694566709804,14.300694566709804,14.613450951102017,17.383095749218217,17.57129149316836,18.00604263957362,18.59379017370858
10.809988099030726,5,0,4,12.24154395432811,15.080515831575322,15.080515831575322,17.044803779209754,17.044803779209754,17.226313228713806,17.57129149316836,17.94766874192682,18.59379017370858,18.932750902519693
14.462629565175659,5,0,4,15.080515831575322,15.941916602491126,17.044803779209754,17.0532164553322,17.226313228713806,17.51543103122432,17.94766874192682,19.309577176838808,19.309577176838808,19.426406018958694
16.11688336927491,5,0,4,16.11688336927491,16.189428181042917,17.0532164553322,17.201052239607343,17.51543103122432,17.59756366710696,19.309577176838808,20.234803359624514,20.234803359624514,20.471858658451467
16.377321160654144,5,0,4,16.377321160654144,17.226012806805866,17.226012806805866,17.846803709770974,17.846803709770974,18.073446086691924,20.234803359624514,20.33289031734802,20.471858658451467,21.12013317689352
16.587951767399414,5,0,4,17.226012806805866,17.472300376159748,17.846803709770974,17.877973806501327,18.073446086691924,18.82225903690108,20.33289031734802,21.215143035087436,21.215143035087436,21.23560019123927
18.139805930803636,5,0,4,18.139805930803636,21.671416856331067,21.671416856331067,21.71164827227246,21.71164827227246,22.1380620733672,22.1380620733672,22.188302718342786,22.188302718342786,22.355379438870596
18.250535116532728,5,0,4,21.671416856331067,22.501954792225725,22.501954792225725,24.58780113282357,24.58780113282357,24.916539820148614,24.916539820148614,25.079972918917623,25.079972918917623,25.706622762028495
18.41227862708493,5,0,4,22.501954792225725,23.58317999199671,24.58780113282357,24.915147185946463,24.916539820148614,25.029810509940827,25.079972918917623,28.569444029577824,28.569444029577824,30.01917201638203
20.721247600472672,5,0,4,23.58317999199671,23.821987129658037,24.915147185946463,25.445923041138858,25.445923041138858,25.48542986278531,28.569444029577824,29.59974680263269,30.01917201638203,30.87844651525739
20.791658442436642,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21.25523841667354,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21.658445224686567,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23.14430536402447,5,0,4,23.821987129658037,23.90879541221133,25.445923041138858,25.56319636042434,25.56319636042434,26.103427505881246,29.59974680263269,30.921546070629667,30.921546070629667,32.397063856943994
23.260669202671927,5,0,4,23.90879541221133,25.615061470385427,25.615061470385427,25.645044685471593,26.103427505881246,26.55936638714679,30.921546070629667,32.67647336270527,32.67647336270527,33.57165899598807
25.1775314964392,3,0,3,25.615061470385427,27.31771195383996,27.31771195383996,27.446808495682838,27.446808495682838,27.514177488890823,-1.0,-1.0,-1.0,-1.0
25.791184176706704,3,0,3,27.31771195383996,27.552284462738555,27.552284462738555,27.555220277190067,27.555220277190067,27.908444842958787,-1.0,-1.0,-1.0,-1.0
26.419349064786942,5,0,4,27.552284462738555,27.756749953675293,27.756749953675293,30.20436469132189,30.20436469132189,31.285932264999694,32.67647336270527,34.85838229992969,34.85838229992969,35.81256891779434
