start_time,innode,inqueue,status,node_1_start,node_1_end,node_2_start,node_2_end,node_3_start,node_3_end,node_4_start,node_4_end,node_5_start,node_5_end,node_6_start,node_6_end
1.7663110474065271,6,0,4,1.7663110474065271,1.9841352296072705,1.9841352296072705,2.0084666815314343,2.0084666815314343,2.3241994708477893,2.3241994708477893,3.9323445568100404,3.9323445568100404,5.5046779308353955,5.5046779308353955,6.13824250509615
2.7900090274927045,6,0,4,2.7900090274927045,3.377694739296564,3.377694739296564,4.012748980321312,4.012748980321312,5.472489372188152,5.472489372188152,5.693920398770679,5.693920398770679,6.175508799822497,6.175508799822497,6.578356410216339
4.77059242479176,6,0,4,4.77059242479176,5.562623944249126,5.562623944249126,6.127147187082968,6.127147187082968,6.216273994223013,6.216273994223013,6.953881553804474,6.953881553804474,8.01458100358758,8.01458100358758,8.794136906120887
5.01350627503351,6,0,4,5.562623944249126,7.273776435538596,7.273776435538596,7.650036941926264,7.650036941926264,7.907742304666327,7.907742304666327,8.635651971069583,8.635651971069583,9.522078394199479,9.522078394199479,10.748827493263631
6.135909791422805,6,0,4,7.273776435538596,7.766415166804954,7.766415166804954,8.048441522067344,8.048441522067344,8.199458508492537,8.635651971069583,8.859613239251036,9.522078394199479,9.687120167269056,10.748827493263631,11.420282336607078
6.992333253634157,6,0,4,7.766415166804954,8.931031425004155,8.931031425004155,10.351504686806651,10.351504686806651,10.630309049405911,10.630309049405911,10.913629521459882,10.913629521459882,11.706421014304322,11.706421014304322,11.829639516135181
7.828720901380512,6,0,4,8.931031425004155,10.435807739097118,10.435807739097118,10.741912963406921,10.741912963406921,11.181162657366148,11.181162657366148,11.780169917115952,11.780169917115952,12.877170600379465,12.877170600379465,13.746979334804713
8.519204631819777,6,0,4,10.435807739097118,13.424462507111034,13.424462507111034,14.10419322536522,14.10419322536522,15.959160019158784,15.959160019158784,16.262805808141714,16.262805808141714,19.056358959493085,19.056358959493085,19.684266754919253
8.831729576095054,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8.98374370015498,6,0,4,13.424462507111034,13.522095916631164,14.10419322536522,14.121054940881077,15.959160019158784,18.906202975089837,18.906202975089837,19.272228330223587,19.272228330223587,19.718510335525337,19.718510335525337,21.256460942873744
9.127528516522949,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.042115614041156,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.274636765749424,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10.62768287426737,6,0,4,13.522095916631164,15.1353191273742,15.1353191273742,16.13747931479033,18.906202975089837,19.054180820334885,19.272228330223587,19.305728215095314,19.718510335525337,20.35321727543168,21.256460942873744,21.553345086621675
10.96588107926296,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11.194988752411437,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11.92208059067072,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12.114380138424211,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13.51776479356139,6,0,4,15.1353191273742,16.3419438813462,16.3419438813462,16.40190418350873,19.054180820334885,19.65373452954666,19.65373452954666,20.50024958466707,20.50024958466707,20.560212092392945,21.553345086621675,22.625856405668344
13.615741522367607,2,0,3,16.3419438813462,17.981125324545403,17.981125324545403,18.021657055724575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16.430985727405975,6,0,4,17.981125324545403,18.635109999062138,18.635109999062138,19.699002629878063,19.699002629878063,21.675199534471037,21.675199534471037,22.94569248830787,22.94569248830787,23.799980435920467,23.799980435920467,25.03923633332471
16.620637003604113,6,0,4,18.635109999062138,19.84877954056955,19.84877954056955,20.23890375270358,21.675199534471037,22.823677658964407,22.94569248830787,24.171153858001343,24.171153858001343,24.380742879557783,25.03923633332471,25.61430179985476
16.72787564679449,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17.7358583073297,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19.07495709105229,6,0,4,19.84877954056955,20.302920041887376,20.302920041887376,20.573235779612812,22.823677658964407,23.218544917752514,24.171153858001343,25.715046660614135,25.715046660614135,26.85618442311829,26.85618442311829,28.121325018915638
20.142946894213825,2,0,3,20.302920041887376,20.387369276250443,20.573235779612812,20.811348468484415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21.19569664395375,6,0,4,21.19569664395375,22.270802175994206,22.270802175994206,22.87919775858762,23.218544917752514,23.27540610178941,25.715046660614135,26.993429086107767,26.993429086107767,27.304853831073938,28.121325018915638,28.616567341423988
21.389424392227966,6,0,4,22.270802175994206,22.471818340878936,22.87919775858762,23.027856461912346,23.27540610178941,25.687218018745035,26.993429086107767,28.61070714490053,28.61070714490053,29.395386435577443,29.395386435577443,29.401433241251627
